id,longName,shortName
1,Academic Complex A (Opp FBMK),KAA
2,Banquet Hall,Banquet
3,Centre of Foundation Studies for Agricultural Science,ASPer
4,Faculty of Agriculture,FP
5,Faculty of Agriculture Cafeteria,FPC
6,Faculty of Biotechnology and Biomolecular Sciences,FBSB
7,Faculty of Computer Science & Information Technology,FSKTM
8,Faculty of Design & Architecture,FRSB
9,Faculty of Food Science & Technology,FSTM
10,Faculty of Modern Languages & Communication,FBMK
11,Faculty of Science,FS
12,Fourteenth College,K14
13,Institute for Mathematical Research,INSPEM
14,Institute of Bioscience,IBS
15,Putra Foodcourt,PFC
16,School of Graduate Studies,SGS
17,Serumpun Foodcourt,SFC
18,Sports Academy,Academy
19,Sultan Abdul Samad Library,PSAS
20,Tenth College,K10
21,Tan Sri Aishah Ghani College,KTAG
22,Tan Sri Mustaffa Babjee,KMB
23,Central (Great Hall & Experimental Theatre),Central
